username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Kotcha301;2016-03-07 15:59;293;269;"Trump Rally Cleveland OHIO Saturday March 12th @2pm Get your tickets now! #OhioVotes4Trump #MakeAmericaGreatAgain https://www. eventbrite.com/e/donald-j-tru mp-in-cleveland-oh-tickets-22635314836 …";;@2pm;#OhioVotes4Trump #MakeAmericaGreatAgain;"706947356059545600";https://twitter.com/Kotcha301/status/706947356059545600
Denise7Berry;2016-03-07 18:59;1;1;"GREAT IDEA. HE NEEDS TO LISTEN TO HIS ADVISERS. #LittleMarco #Trump2016 #MakeAmericaGreatAgain #TrumpTrain #Trump https:// twitter.com/cnn/status/706 979113177915392 …";San Antonio, TX;;#LittleMarco #Trump2016 #MakeAmericaGreatAgain #TrumpTrain #Trump;"706992819970244608";https://twitter.com/Denise7Berry/status/706992819970244608
EricTrump;2016-03-03 13:54;3264;5713;"Spot on! Thank you for the kind words @GovMikeHuckabee #MakeAmericaGreatAgain pic.twitter.com/lXX5jktqFB";;@GovMikeHuckabee;#MakeAmericaGreatAgain;"705466421741031424";https://twitter.com/EricTrump/status/705466421741031424
whcarmichael;2016-03-07 18:59;3;1;"#MakeAmericaGreatAgain and lets get #TrumpsWall http:// bit.ly/brickready https:// twitter.com/ConservativeGM /status/706992523001118720 …";;;#MakeAmericaGreatAgain #TrumpsWall;"706992739720826880";https://twitter.com/whcarmichael/status/706992739720826880
callACE84;2016-03-07 18:59;2;4;"@mitchellvii things I trust more than #Hillary Giving money to a Nigerian charity #MakeAmericaGreatAgain";;@mitchellvii;#Hillary #MakeAmericaGreatAgain;"706992683047391232";https://twitter.com/callACE84/status/706992683047391232
PennsCurse;2016-03-07 18:59;6;3;"#NeverTrump bc #MakeAmericaGreatAgain hats fm Mexico aren't about making America great #Cruz2016 #MIprimary #MSprimary #IDprimary #HIcaucus";;;#NeverTrump #MakeAmericaGreatAgain #Cruz2016 #MIprimary #MSprimary #IDprimary #HIcaucus;"706992675434659841";https://twitter.com/PennsCurse/status/706992675434659841
PRMurphyinWA;2016-03-07 18:58;0;1;"#Trump2016 sets the record straight AGAIN, with the actual documentation. https://www. facebook.com/DonaldTrump/vi deos/10156728656915725/ … #TrumpTrain #MakeAmericaGreatAgain";;;#Trump2016 #TrumpTrain #MakeAmericaGreatAgain;"706992554105917441";https://twitter.com/PRMurphyinWA/status/706992554105917441
Ktywack1;2016-03-07 18:58;5;4;"YES!! That is Why America Chooses #DonaldTrump #MakeAmericaGreatAgain https:// twitter.com/reince/status/ 706682318354829313 …";;;#DonaldTrump #MakeAmericaGreatAgain;"706992549018218496";https://twitter.com/Ktywack1/status/706992549018218496
AkHaifa88;2016-03-07 18:58;0;1;"#MakeAmericaGreatAgain #BernieSanders";;;#MakeAmericaGreatAgain #BernieSanders;"706992540877086721";https://twitter.com/AkHaifa88/status/706992540877086721
ladyright1970;2016-03-07 18:58;0;0;"I'm done with the @GOP #Trump2016 #Trump #MakeAmericaGreatAgain http:// redstatewatcher.com/article.asp?id =9685 …";;@GOP;#Trump2016 #Trump #MakeAmericaGreatAgain;"706992470245167104";https://twitter.com/ladyright1970/status/706992470245167104
RogueRepublican;2016-03-07 18:58;1;0;"Rubio advisers urging No-Show Marco to exit before FL humiliation http://www. cnn.com/2016/03/07/pol itics/marco-rubio-campaign-weighs-getting-out/index.html … #MakeAmericaGreatAgain #Marcomentum";;;#MakeAmericaGreatAgain #Marcomentum;"706992408869740544";https://twitter.com/RogueRepublican/status/706992408869740544
UberGrump;2016-03-07 18:57;2;1;". @realDonaldTrump #MakeAmericaGreatAgain @AlwaysTrump https:// twitter.com/CNN/status/706 979113177915392 …";;@realDonaldTrump @AlwaysTrump;#MakeAmericaGreatAgain;"706992263927349248";https://twitter.com/UberGrump/status/706992263927349248
MiriamRoseMc;2016-03-07 18:57;1;1;"#TRUMP will #MakeAmericaGreatAgain , please go out and vote tomorrow, Michigan, Idaho, Mississippi, & Hawaii - Lets make it a win.";Michigan, USA;;#TRUMP #MakeAmericaGreatAgain;"706992253760180224";https://twitter.com/MiriamRoseMc/status/706992253760180224
letsrollamerica;2016-03-07 18:57;0;1;"@tcmiles1980 @Cary88888888 Cruz no friend to hard working Americans! #LoseWithCruz #VoteTrump to #MakeAmericaGreatAgain & CLOSE OUR BORDERS";;@tcmiles1980 @Cary88888888;#LoseWithCruz #VoteTrump #MakeAmericaGreatAgain;"706992171837042689";https://twitter.com/letsrollamerica/status/706992171837042689
RealJohnnyZ;2016-03-07 18:56;0;0;"#PresidentTrump #MittRomneySexTape #MakeAmericaGreatAgain #NeverRubio #NeverMitt #TrumpsArmy #AlwaysTrump https:// twitter.com/Gianluca_1970/ status/706989232737427456 …";;;#PresidentTrump #MittRomneySexTape #MakeAmericaGreatAgain #NeverRubio #NeverMitt #TrumpsArmy #AlwaysTrump;"706991975849799681";https://twitter.com/RealJohnnyZ/status/706991975849799681
Denise7Berry;2016-03-07 18:56;1;1;"LETS STAY STRONG AND ALLOW THIS TRASH TALK TO STRENGTHEN OUR MOVEMENT. #Trump2016 #MakeAmericaGreatAgain https:// twitter.com/juicypietaster /status/706990799414628352 …";San Antonio, TX;;#Trump2016 #MakeAmericaGreatAgain;"706991895122038784";https://twitter.com/Denise7Berry/status/706991895122038784
Thomas__Art;2016-03-07 18:56;0;2;"https:// youtu.be/_pvirKqHy1g The truth about @marcorubio #rubioSWEATS #AlwaysTrump #MakeAmericaGreatAgain #Trump2016 #TrumpForPresident2016";;@marcorubio;#rubioSWEATS #AlwaysTrump #MakeAmericaGreatAgain #Trump2016 #TrumpForPresident2016;"706991859780997120";https://twitter.com/Thomas__Art/status/706991859780997120
PolishPunnisher;2016-03-07 18:55;0;2;"Why is my sushi lookin like it hates Mexicans? #trump #MakeAmericaGreatAgain pic.twitter.com/F2XLXRGy5F";;;#trump #MakeAmericaGreatAgain;"706991819150663680";https://twitter.com/PolishPunnisher/status/706991819150663680
